[28-Sep-2012 00:30:43] PHP Strict Standards:  Non-static method API::getGames() should not be called statically, assuming $this from incompatible context in C:\Users\banderso\Desktop\PROJECTS\php-code-challenge\xbox\application\views\scripts\api\index.phtml on line 17
[28-Sep-2012 00:30:47] PHP Strict Standards:  Non-static method API::getGames() should not be called statically, assuming $this from incompatible context in C:\Users\banderso\Desktop\PROJECTS\php-code-challenge\xbox\application\views\scripts\api\index.phtml on line 17
[28-Sep-2012 00:30:52] PHP Fatal error:  Using $this when not in object context in C:\Users\banderso\Desktop\PROJECTS\php-code-challenge\xbox\application\models\API.model.php on line 11
[28-Sep-2012 00:30:58] PHP Strict Standards:  Non-static method API::getGames() should not be called statically, assuming $this from incompatible context in C:\Users\banderso\Desktop\PROJECTS\php-code-challenge\xbox\application\views\scripts\api\index.phtml on line 17
[28-Sep-2012 00:31:02] PHP Fatal error:  Using $this when not in object context in C:\Users\banderso\Desktop\PROJECTS\php-code-challenge\xbox\application\models\API.model.php on line 11
[28-Sep-2012 00:31:39] PHP Strict Standards:  Non-static method API::getGames() should not be called statically, assuming $this from incompatible context in C:\Users\banderso\Desktop\PROJECTS\php-code-challenge\xbox\application\views\scripts\api\index.phtml on line 17
[28-Sep-2012 00:32:52] PHP Strict Standards:  Non-static method API::getGames() should not be called statically, assuming $this from incompatible context in C:\Users\banderso\Desktop\PROJECTS\php-code-challenge\xbox\application\views\scripts\api\index.phtml on line 17
[28-Sep-2012 00:33:26] PHP Strict Standards:  Non-static method API::getGames() should not be called statically, assuming $this from incompatible context in C:\Users\banderso\Desktop\PROJECTS\php-code-challenge\xbox\application\views\scripts\api\index.phtml on line 17
[28-Sep-2012 00:34:26] PHP Parse error:  syntax error, unexpected T_STRING, expecting T_FUNCTION in C:\Users\banderso\Desktop\PROJECTS\php-code-challenge\xbox\application\models\API.model.php on line 4
[28-Sep-2012 00:34:47] PHP Parse error:  syntax error, unexpected T_VARIABLE, expecting T_STRING in C:\Users\banderso\Desktop\PROJECTS\php-code-challenge\xbox\application\models\API.model.php on line 4
[28-Sep-2012 00:35:27] PHP Strict Standards:  Non-static method API::getGames() should not be called statically, assuming $this from incompatible context in C:\Users\banderso\Desktop\PROJECTS\php-code-challenge\xbox\application\views\scripts\api\index.phtml on line 17
[28-Sep-2012 00:35:36] PHP Strict Standards:  Non-static method API::getGames() should not be called statically, assuming $this from incompatible context in C:\Users\banderso\Desktop\PROJECTS\php-code-challenge\xbox\application\views\scripts\api\index.phtml on line 17
[28-Sep-2012 00:35:46] PHP Fatal error:  Using $this when not in object context in C:\Users\banderso\Desktop\PROJECTS\php-code-challenge\xbox\application\models\API.model.php on line 11
[28-Sep-2012 00:37:09] PHP Strict Standards:  Non-static method API::getGames() should not be called statically, assuming $this from incompatible context in C:\Users\banderso\Desktop\PROJECTS\php-code-challenge\xbox\application\views\scripts\api\index.phtml on line 17
[28-Sep-2012 00:37:21] PHP Parse error:  syntax error, unexpected T_STRING, expecting T_VARIABLE in C:\Users\banderso\Desktop\PROJECTS\php-code-challenge\xbox\application\models\API.model.php on line 4
[28-Sep-2012 00:37:32] PHP Strict Standards:  Non-static method API::getGames() should not be called statically, assuming $this from incompatible context in C:\Users\banderso\Desktop\PROJECTS\php-code-challenge\xbox\application\views\scripts\api\index.phtml on line 17
[28-Sep-2012 00:37:57] PHP Strict Standards:  Non-static method API::getGames() should not be called statically, assuming $this from incompatible context in C:\Users\banderso\Desktop\PROJECTS\php-code-challenge\xbox\application\views\scripts\api\index.phtml on line 17
[28-Sep-2012 00:38:07] PHP Strict Standards:  Non-static method API::getGames() should not be called statically, assuming $this from incompatible context in C:\Users\banderso\Desktop\PROJECTS\php-code-challenge\xbox\application\views\scripts\api\index.phtml on line 17
[28-Sep-2012 00:38:22] PHP Strict Standards:  Non-static method API::getGames() should not be called statically, assuming $this from incompatible context in C:\Users\banderso\Desktop\PROJECTS\php-code-challenge\xbox\application\views\scripts\api\index.phtml on line 17
[28-Sep-2012 00:38:44] PHP Strict Standards:  Non-static method API::getGames() should not be called statically, assuming $this from incompatible context in C:\Users\banderso\Desktop\PROJECTS\php-code-challenge\xbox\application\views\scripts\api\index.phtml on line 17
[28-Sep-2012 00:39:55] PHP Strict Standards:  Non-static method API::getGames() should not be called statically, assuming $this from incompatible context in C:\Users\banderso\Desktop\PROJECTS\php-code-challenge\xbox\application\views\scripts\api\index.phtml on line 17
[28-Sep-2012 00:40:17] PHP Strict Standards:  Non-static method API::getGames() should not be called statically, assuming $this from incompatible context in C:\Users\banderso\Desktop\PROJECTS\php-code-challenge\xbox\application\views\scripts\api\index.phtml on line 17
[28-Sep-2012 00:40:38] PHP Parse error:  syntax error, unexpected ')' in C:\Users\banderso\Desktop\PROJECTS\php-code-challenge\xbox\application\views\scripts\api\index.phtml on line 17
